id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1163886247702040347,3 Quartos vista para o mar em Botafogo,69663529,Maria Da Penha,,Botafogo,-22.95193975974675,-43.17735957122705,Entire home/apt,580.0,2,8,2025-09-13,0.7,1,122,8,
1097858245141822071,Pousada & Restaurante do Recreio,214725718,Pousada E Restaurante,,Recreio dos Bandeirantes,-23.0321985162566,-43.48502229899168,Private room,,1,0,,,1,0,0,
1492124288267357501,Casa completa com vista,227033613,Walkiria,,Vidigal,-22.99561223025092,-43.240969680434674,Entire home/apt,407.0,3,0,,,2,105,0,
794358422389520873,Suíte executiva na Barra Olímpica - Rio Centro,296430347,Rodrigo,,Camorim,-22.98187,-43.42268,Entire home/apt,177.0,1,9,2025-02-10,0.28,8,89,2,
1254922022202608301,Apartamento na Lapa,586446161,Sandro Honorio,,Centro,-22.91179275335089,-43.18384778029281,Entire home/apt,126.0,1,4,2025-02-20,0.34,1,222,4,
8409929,ÓTIMO APTO 2 QTOS PRAIA DE BOTAFOGO,36911251,Pedro Henrique,,Botafogo,-22.94541,-43.18219,Entire home/apt,900.0,2,21,2025-03-05,0.18,2,209,2,
23238923,[BP-1] Spacious Suite in Ipanema by the Hill,9292993,Bruno,,Copacabana,-22.98193,-43.1961,Private room,,2,205,2025-09-10,2.22,1,0,4,
13714038,BEST LOCATION IN COPACABANA 1 - ROOM RIO,80105840,Sonia,,Copacabana,-22.977198,-43.191589,Private room,289.0,2,43,2025-05-04,0.4,4,359,5,
1185776390224910136,"Apartamento, Copacabana posto 6",519488253,Mônica,,Copacabana,-22.9824279907576,-43.190274350345135,Entire home/apt,350.0,3,0,,,3,133,0,
1338392809273908727,Conforto no Coração do Rio,666728033,Mauro,,Centro,-22.9085651,-43.177743,Entire home/apt,283.0,2,1,2025-05-05,0.21,1,356,1,
1321420581727872666,Santa Clara Copacabana Style: localização e espaço,2513825,Newton,,Copacabana,-22.96784,-43.19044,Entire home/apt,219.0,2,17,2025-09-08,2.06,62,148,17,
